,title,originallink,link,description,pubDate
0,"하나투어, 멀티 AI 에이전트 ‘하이(H-AI)’ 선보여",http://www.lawissue.co.kr/view.php?ud=202503191922335847204ead0791_12,http://www.lawissue.co.kr/view.php?ud=202503191922335847204ead0791_12,"이를 위해 단일 AI 모델이 아닌 여러 대규모 언어 모델(<b>LLM</b>)을 조합하고, 독립적인 특성을 갖는 AI 에이전트를 멀티로 구성하게 설계했다. 고객의 문의 맥락을 분석해 가장 적절한 모델을 자동 선택하여 답변을... ","Wed, 19 Mar 2025 19:26:00 +0900"
1,"델 테크놀로지스, PC에서 데이터센터 솔루션 전반에 '엔비디아 기반 델...",https://www.aitimes.kr/news/articleView.html?idxno=34296,https://www.aitimes.kr/news/articleView.html?idxno=34296,"'델 프로 맥스'는 경량 AI 개발, 데이터 분석 및 설계 시뮬레이션뿐만 아니라 복잡한 <b>LLM</b>(대규모 언어 모델)을 배포하기 이전의 학습, 추론 및 미세 조정 작업 등 다양한 작업에 적합하게 설계됐다. GB300... ","Wed, 19 Mar 2025 19:24:00 +0900"
2,"레드햇, '뉴럴매직' 인수 완료…&quot;오픈소스 AI 추론 엔진 강화 박차&quot;",https://www.ddaily.co.kr/page/view/2025031917554323974,https://n.news.naver.com/mnews/article/138/0002192974?sid=105,"거대언어모델(<b>LLM</b>) 최적화 기술, 즉 vLLM(Variable-sized Large Language Model)을 강화하기 위해 뉴럴매직을... 특히 vLLM 분야에서 엔터프라이즈급 추론 스택을 구축해 왔으며 <b>LLM</b> 컴프레서 개발과 최적화된 모델도 제공한다.... ","Wed, 19 Mar 2025 18:57:00 +0900"
3,"마인즈앤컴퍼니, 롯데손보 생성형 AI 도입 프로젝트 성료",https://www.nextdaily.co.kr/news/articleView.html?idxno=236235,https://www.nextdaily.co.kr/news/articleView.html?idxno=236235,멀티 모달 모델은 텍스트만 입력받아 처리하는 <b>LLM</b>(Large Language Model)뿐만 아니라 텍스트와 이미지를 비롯한 다양한 데이터를 통합적으로 처리할 수 있다. 예를 들어 보험사에서 자동차 보험 주행거리를 확인하기 위해... ,"Wed, 19 Mar 2025 18:26:00 +0900"
4,삼성 9100 프로 리뷰 “SSD 왕의 귀환”,https://www.itworld.co.kr/article/3848803/삼성-9100-프로-리뷰-ssd-왕의-귀환.html,https://www.itworld.co.kr/article/3848803/삼성-9100-프로-리뷰-ssd-왕의-귀환.html,"반면에, <b>LLM</b>을 로드하지 않는 대부분 사용자는 절반 가격의 HMB 디자인으로 충분할 것이다. 테스트 방법 드라이브 테스트는 현재 윈도우 11 64비트 버전을 X790(PCIe 4.0/5.0) 메인보드/i5-12400 CPU 콤보에서 실행하고... ","Wed, 19 Mar 2025 18:10:00 +0900"
5,XR대중화 목표… 삼성·애플 신제품 러시,http://www.fnnews.com/news/202503191807359107,https://n.news.naver.com/mnews/article/014/0005323364?sid=105,구글 거대언어모델(<b>LLM</b>) '제미나이'를 활용한 AI 에이전트는 비서 기능을 수행한다. 애플도 지난해 2월 출시한 '비전프로'의 보급형 제품을 연내 선보인다. 시장조사기관 IDC에 따르면 비전프로는 분기당 10만대도 채... ,"Wed, 19 Mar 2025 18:08:00 +0900"
6,"경남대, 초거대제조AI 후속 사업 추진 위한 다자간 협약 체결",https://www.cnbnews.com/news/article.html?no=713775,https://www.cnbnews.com/news/article.html?no=713775,거대언어모델(<b>LLM</b>)과 경남대만의 제조산업 특화 지식그래프 기술을 기반으로 둔 검색증강생성(RAG) 모델을... 하지만 제조업에서 물리적 개념 이해가 부족한 <b>LLM</b>만으로는 범용 서비스 개발 및 적용 한계가 있음을... ,"Wed, 19 Mar 2025 18:00:00 +0900"
7,경남대 초거대제조AI 후속 사업 추진 위한 다자간 협약 체결,http://www.veritas-a.com/news/articleView.html?idxno=546466,http://www.veritas-a.com/news/articleView.html?idxno=546466,거대언어모델(<b>LLM</b>)과 경남대만의 제조산업 특화 지식그래프 기술을 기반으로 둔 검색증강생성(RAG) 모델을... 하지만 제조업에서 물리적 개념 이해가 부족한 <b>LLM</b>만으로는 범용 서비스 개발 및 적용 한계가 있음을 발견하고... ,"Wed, 19 Mar 2025 17:58:00 +0900"
8,"마인즈앤컴퍼니, 롯데손해보험에 AI 모델 개발 플랫폼·생성 AI 구축",https://www.aitimes.com/news/articleView.html?idxno=168919,https://www.aitimes.com/news/articleView.html?idxno=168919,"이를 통해 언어모델 운영 플랫폼 '<b>LLM</b>옵스 라이트'를 구축하며 생성 AI 모델을 금융사 내부 폐쇄망 환경에서 배포할 수 있게 됐다는 설명이다. 금융사 최초로 '코드 어시스턴트'를 도입해 내부 개발자, 분석가들이 데이터... ","Wed, 19 Mar 2025 17:52:00 +0900"
9,"국내 최대 의료기기 전시회 키메스(KIMES), 의료 혁신 기술 담은 스타트...",https://kr.aving.net/news/articleView.html?idxno=1798298,https://kr.aving.net/news/articleView.html?idxno=1798298,"검증된 사례 데이터를 바탕으로 최적화된 거대언어모델(<b>LLM</b>)을 적용함으로써 뛰어난 신뢰도를 확보한 온톨 스크라이브를 중심으로, 테서는 올 연말까지 40여 곳의 병의원을 대상으로 공급 계약을 체결하겠다는... ","Wed, 19 Mar 2025 17:48:00 +0900"
